Title,Body,Labels
"P0-01 Auth mode flags and routing guards","Priority: P0\nOwner: BE\nSize: S\nDepends on: none\n\nScope\n- Add AUTH_PRINCIPAL_MODE=compat|did_strict runtime switch.\n- Thread mode into auth boundary and deny reason mapping.\n\nDefinition of Done\n- Strict mode can be enabled without route breakage in compat mode.\n- Deny reasons are deterministic and logged.\n\nTests\n- Unit tests for mode switching.\n- Route contract tests for compat behavior.","area:auth,area:backend,priority:P0,size:S"
"P0-02 Principal claim ingestion shim","Priority: P0\nOwner: BE\nSize: M\nDepends on: P0-01\n\nScope\n- Parse optional claims: principal_did, principal_key_id, context_id, session_jti.\n- Preserve legacy tuple extraction path.\n- Pass both claim families into authz.py and ledger_scope.py.\n\nDefinition of Done\n- Sensitive routes accept optional DID claims in compat mode.\n- Existing tests green and new contract tests added.\n\nTests\n- Route contract coverage for optional claims.","area:auth,area:backend,priority:P0,size:M"
"P0-03 Stream/meta auth-context diagnostics","Priority: P0\nOwner: BE\nSize: S\nDepends on: P0-02\n\nScope\n- Emit compact diagnostics: principal_source, context_id, authz_reason.\n- Include in stream context_meta and/or final meta.\n\nDefinition of Done\n- Diagnostics visible in one cloud turn and one local turn.\n- No secrets leaked in payloads.\n\nTests\n- Stream schema snapshot tests.","area:observability,area:backend,priority:P0,size:S"
"P0-04 Middleware token pass-through envelope","Priority: P0\nOwner: MW\nSize: M\nDepends on: P0-02\n\nScope\n- Accept bearer/opaque session token from frontend.\n- Forward normalized auth claims to backend headers/payload.\n- Maintain legacy fallback path under compat mode.\n\nDefinition of Done\n- Backend sees consistent auth claim envelope from middleware.\n- Existing non-auth smoke tests still pass.\n\nTests\n- Middleware integration tests for claim forwarding.","area:middleware,area:auth,priority:P0,size:M"
"P0-05 Frontend debug visibility for auth/context","Priority: P0\nOwner: FE\nSize: S\nDepends on: P0-03\n\nScope\n- Display auth/context diagnostics in debug panel.\n- Display stream upstream markers: x-ds-upstream-url and fallback flag.\n\nDefinition of Done\n- Operator can diagnose auth/context decisions from browser only.\n\nTests\n- Frontend smoke: diagnostics panel populated.","area:frontend,area:observability,priority:P0,size:S"
"P0-06 Observability baseline","Priority: P0\nOwner: OPS\nSize: M\nDepends on: P0-03\n\nScope\n- Dashboards: deny reasons, legacy-vs-did usage, auth error classes.\n- Alerts for deny spikes and token validation failures.\n\nDefinition of Done\n- Dashboards and alerts published with runbook links.\n\nTests\n- Alert fire-drill in non-prod.","area:ops,area:observability,priority:P0,size:M"
"P1-01 Principal registry schema and API","Priority: P1\nOwner: MW\nSize: L\nDepends on: P0-04\n\nScope\n- Create principal records keyed by principal_did.\n- Add read endpoints for principal status and key references.\n\nDefinition of Done\n- Principal lifecycle (create/disable/read) is operational.\n\nTests\n- Registry CRUD + authz tests.","area:middleware,area:iam,priority:P1,size:L"
"P1-02 Passkey/WebAuthn challenge and verify endpoints","Priority: P1\nOwner: MW\nSize: L\nDepends on: P1-01\n\nScope\n- Implement /auth/challenge and /auth/verify.\n- Verify origin, rpIdHash, challenge, signature, sign-count.\n- Bind credential_id to principal_did.\n\nDefinition of Done\n- One passkey login path works end-to-end in staging.\n\nTests\n- WebAuthn verification tests + replay/sign-count checks.","area:middleware,area:webauthn,priority:P1,size:L"
"P1-03 Session token issuer and validator","Priority: P1\nOwner: MW,BE\nSize: L\nDepends on: P1-02,P0-02\n\nScope\n- Middleware issues short-lived signed token with scoped claims.\n- Backend validates token and maps claims into existing authz boundary.\n\nDefinition of Done\n- Token-authenticated writes succeed with DID provenance fields.\n- Expired/invalid tokens fail with deterministic reason.\n\nTests\n- Token mint/verify tests and route integration coverage.","area:auth,area:middleware,area:backend,priority:P1,size:L"
"P1-04 Provenance dual-write rollout","Priority: P1\nOwner: BE\nSize: M\nDepends on: P1-03\n\nScope\n- Persist DID fields alongside legacy contributor tuple.\n- Add parity checks for dual-write integrity.\n\nDefinition of Done\n- Sampled turns show both field families populated correctly.\n\nTests\n- Write-path regression tests for provenance payload.","area:backend,area:provenance,priority:P1,size:M"
